human,optim,dataset,model,num_layers,norms,noise,lnoise,residual,seed,epochs,runs,device,numworkers,eff_test_accuracy,med_stat,pval
apurva,adam,fmnist,mlp,2,layer,false,wdecay,false,0,25,5,cuda,4,0.8016500000000001,0,0.001953125
apurva,sgd,fmnist,mlp,2,layer,false,wdecay,false,0,25,5,cuda,4,0.80247,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,layer,false,wdecay,false,0,25,5,cuda,4,0.8081400000000001,0,0.001953125
apurva,adam,fmnist,mlp,2,layer,false,wdecay,true,0,25,5,cuda,4,0.805,0,0.001953125
apurva,sgd,fmnist,mlp,2,layer,false,wdecay,true,0,25,5,cuda,4,0.8042,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,layer,false,wdecay,true,0,25,5,cuda,4,0.81427,0,0.001953125
apurva,adam,fmnist,mlp,2,batch,false,wdecay,false,0,25,5,cuda,4,0.803559999999999,0,0.001953125
apurva,sgd,fmnist,mlp,2,batch,false,wdecay,false,0,25,5,cuda,4,0.8013300000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,batch,false,wdecay,false,0,25,5,cuda,4,0.807469999999999,0,0.001953125
apurva,adam,fmnist,mlp,6,false,false,false,false,0,25,5,cuda,4,0.800119999999999,0,0.001953125
apurva,sgd,fmnist,mlp,6,false,false,false,false,0,25,5,cuda,4,0.78741,0,0.001953125
apurva,sgdmom,fmnist,mlp,6,false,false,false,false,0,25,5,cuda,4,0.792759999999999,0,0.001953125
apurva,adam,fmnist,mlp,6,false,false,false,true,0,25,5,cuda,4,0.81003,0,0.001953125
apurva,sgd,fmnist,mlp,6,false,false,false,true,0,25,5,cuda,4,0.8066800000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,6,false,false,false,true,0,25,5,cuda,4,0.8036800000000001,0,0.001953125
apurva,adam,fmnist,mlp,6,layer,false,false,false,0,25,5,cuda,4,0.79795,0,0.001953125
apurva,sgd,fmnist,mlp,6,layer,false,false,false,0,25,5,cuda,4,0.7971100000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,6,layer,false,false,false,0,25,5,cuda,4,0.7961400000000001,0,0.001953125
apurva,adam,fmnist,mlp,6,layer,false,false,true,0,25,5,cuda,4,0.799859999999999,0,0.001953125
apurva,sgd,fmnist,mlp,6,layer,false,false,true,0,25,5,cuda,4,0.7762800000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,6,layer,false,false,true,0,25,5,cuda,4,0.8029000000000001,0,0.001953125
apurva,adam,fmnist,mlp,2,batch,false,false,false,0,25,5,cuda,4,0.801559999999999,0,0.001953125
apurva,sgd,fmnist,mlp,2,batch,false,false,false,0,25,5,cuda,4,0.800079999999999,0,0.001953125
apurva,sgdmom,fmnist,mlp,2,batch,false,false,false,0,25,5,cuda,4,0.80459,0,0.001953125
apurva,adam,fmnist,mlp,6,batch,false,false,true,0,25,5,cuda,4,0.81127,0,0.001953125
apurva,sgd,fmnist,mlp,6,batch,false,false,true,0,25,5,cuda,4,0.8001,0,0.001953125
apurva,sgdmom,fmnist,mlp,6,batch,false,false,true,0,25,5,cuda,4,0.8047500000000001,0,0.001953125
apurva,adam,fmnist,mlp,6,false,false,wdecay,false,0,25,5,cuda,4,0.7970200000000001,0,0.001953125
apurva,sgd,fmnist,mlp,6,false,false,wdecay,false,0,25,5,cuda,4,0.7891600000000001,0,0.001953125
apurva,sgdmom,fmnist,mlp,6,false,false,wdecay,false,0,25,5,cuda,4,0.78463,0,0.001953125
apurva,adam,fmnist,mlp,6,false,false,wdecay,true,0,25,5,cuda,4,0.8002600000000001,0,0.001953125
apurva,sgd,fmnist,mlp,6,false,false,wdecay,true,0,25,5,cuda,4,0.79895,0,0.001953125
